iso2,network_id,network_name,mcc,mnc,cc,prefix,live_coverage,rates
AZ,994500,Azercell Telecom LLC,400,1,994,99451,TRUE,0.0007875
AZ,994502,Azerfon LLC (Nar Mobile),400,4,994,9947,TRUE,0.0007875
BA,387500,BH Telecom dd,218,90,387,3876031,TRUE,0.000735
BA,387500,BH Telecom dd,218,90,387,3876032,TRUE,0.000735
BA,387500,BH Telecom dd,218,90,387,3876033,TRUE,0.000735
BA,387500,BH Telecom dd,218,90,387,3876034,TRUE,0.000735
BA,387500,BH Telecom dd,218,90,387,3876038,TRUE,0.000735
BA,387500,BH Telecom dd,218,90,387,3876039,TRUE,0.000735
BA,387500,BH Telecom dd,218,90,387,38761,TRUE,0.000735
BA,387500,BH Telecom dd,218,90,387,38762,TRUE,0.000735
BA,387501,HT Mostar (Eronet),218,3,387,38763,TRUE,0.000735
BA,387501,HT Mostar (Eronet),218,3,387,38764,TRUE,0.000735
BA,387502,Telekom Srpske ad (m:tel),218,5,387,38765,TRUE,0.000735
BA,387502,Telekom Srpske ad (m:tel),218,5,387,38766,TRUE,0.000735
BA,387502,Telekom Srpske ad (m:tel),218,5,387,38767,TRUE,0.000735
BD,880503,Robi Axiata Limited,470,2,,,,
BE,32502,INFRABEL / Eurofiber,206,20,32,32456,TRUE,0.000945
BE,32502,INFRABEL / Eurofiber,206,20,32,32483,TRUE,0.000945
BE,32502,INFRABEL / Eurofiber,206,20,32,32484,TRUE,0.000945
BE,32502,INFRABEL / Eurofiber,206,20,32,32485,TRUE,0.000945
BE,32502,INFRABEL / Eurofiber,206,20,32,32486,TRUE,0.000945
BE,32502,INFRABEL / Eurofiber,206,20,32,32487,TRUE,0.000945
BE,32502,INFRABEL / Eurofiber,206,20,32,32488,TRUE,0.000945
BE,32502,INFRABEL / Eurofiber,206,20,32,32489,TRUE,0.000945
BE,32502,INFRABEL / Eurofiber,206,20,32,32770002,TRUE,0.000945
BE,32505,Lycamobile sprl,206,06,32,324660,TRUE,0.000945
BE,32505,Lycamobile sprl,206,06,32,324661,TRUE,0.000945
BE,32505,Lycamobile sprl,206,06,32,324662,TRUE,0.000945
BE,32505,Lycamobile sprl,206,06,32,324676,TRUE,0.000945
BE,32506,Nethys SA,206,08,32,32465,TRUE,0.000945
BE,32506,Nethys SA,206,08,32,324650,TRUE,0.000945
BE,32508,Orange Belgium,206,10,32,3249,TRUE,0.000945
BE,32508,Orange Belgium,206,10,32,32770005,TRUE,0.000945
BE,32510,Proximus NV van publiek recht,206,1,32,32460,TRUE,0.000945
BE,32510,Proximus NV van publiek recht,206,1,32,3247,TRUE,0.000945
BE,32510,Proximus NV van publiek recht,206,1,32,32770001,TRUE,0.000945
BE,32511,TELENET BVBA,206,5,32,32455,TRUE,0.000945
BE,32511,TELENET BVBA,206,5,32,324670,TRUE,0.000945
BE,32511,TELENET BVBA,206,5,32,324673,TRUE,0.000945
BE,32511,TELENET BVBA,206,5,32,324674,TRUE,0.000945
BE,32511,TELENET BVBA,206,5,32,324675,TRUE,0.000945
BE,32511,TELENET BVBA,206,5,32,324677,TRUE,0.000945
BE,32511,TELENET BVBA,206,5,32,324678,TRUE,0.000945
BE,32511,TELENET BVBA,206,5,32,324679,TRUE,0.000945
BE,32511,TELENET BVBA,206,5,32,324680,TRUE,0.000945
BE,32511,TELENET BVBA,206,5,32,324681,TRUE,0.000945
BE,32511,TELENET BVBA,206,5,32,324682,TRUE,0.000945
BE,32511,TELENET BVBA,206,5,32,324683,TRUE,0.000945
BE,32511,TELENET BVBA,206,5,32,324684,TRUE,0.000945
BE,32511,TELENET BVBA,206,5,32,324685,TRUE,0.000945
BE,32511,TELENET BVBA,206,5,32,324687,TRUE,0.000945
BE,32511,TELENET BVBA,206,5,32,324688,TRUE,0.000945
BE,32511,TELENET BVBA,206,5,32,324689,TRUE,0.000945
